Class Year,GPA,Cups Coffee,Hrs Sleep
1,3.82,3,8
2,4,1,8
1,3.42,1,8
1,3.71,3,6
1,2.86,1,6
1,3.65,0,6
1,3.33,0,5
2,2.44,0,6
2,3.47,0,6
2,3.63,1,5
2,3.44,3,6
3,3.28,3,6
3,3,2,4
3,3.29,1,6
,,,
4,3.64,0,7
4,3.43,0,5
3,3.44,0,8
4,3.55,0,5
1,4,0,8
1,3.22,1,7
2,3.31,0,6
2,3.28,0,7
2,3.96,0,8
2,3.37,0,8
4,3.75,0,7
4,3.52,2,5
3,2.46,1,9
3,4,3,5
2,3.92,1,7
1,2.65,1,8
1,3.23,2,7
1,3.22,0,6
1,3.47,0,7
2,2.65,3,5
2,3.56,1,9
2,2.14,5,6
3,3,0,6
3,3.34,2,7
3,3.45,3,7
3,2.57,0,6
3,2.92,1,8
4,2.73,1,8
4,2.84,1,8
4,3.41,2,8
3,2.47,3,8
3,3.43,0,7
3,1.84,2,5
3,2.86,4,8
3,3.63,6,9
3,2.94,2,7
3,3,1,8
3,2.71,3,6
3,3.83,10,4
3,3.37,5,7
3,3.25,0,9
3,2.93,2,8
3,2.84,4,8
3,2.17,5,6
,,,
4,2.74,1,8
4,3.22,0,6
4,3.85,0,7
4,2.87,2,9
4,3,1,8
4,3.14,1,8
4,3,0,7
4,2.15,2,6
4,3.54,3,8
4,2.85,0,7
4,4,1,8
4,3.15,0,9
1,3.22,0,6
1,2.65,1,5
1,3.84,2,6
1,3.77,1,6
1,4,2,7
1,2.14,0,4
1,3.35,2,5
1,4,3,6
1,3.46,1,6
2,3.18,1,6
2,3.54,0,7
2,3.72,2,7
2,3.8,0,8
2,3.6,2,6
2,3,1,5
2,3.95,1,6
1,3.75,0,6
1,3.64,2,4
4,3.23,1,8
4,3.97,0,7
2,3.55,1,7
2,2.95,2,6
2,3.84,0,6
4,3.53,0,8
4,3.43,1,9
1,2.83,2,5
1,3.66,4,4
4,3.14,2,8
2,3.86,2,7
2,3.55,1,6